#separator:tab
#html:true
#tags column:5
相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
牛乳パック	牛[ぎゅう] 乳[にゅう]パック	milk carton		0070 0071
急ブレーキ	急[きゅう]ブレーキ	sudden braking		0167
休養	休[きゅう] 養[よう]	rest, recreation		0022 0119
給料	給[きゅう] 料[りょう]	salary		0062
器用	器[き] 用[よう]	dexterity, skilfulness	反.  不[ぶ] 器[き] 用[よう]<br>clumsy	0006
～業	～ 業[ぎょう]	～ industry		0172
教育実習	教[きょう] 育[いく] 実[じっ] 習[しゅう]	teaching practice		0038
教員	教[きょう] 員[いん]	teaching staff		0038
強化	強[きょう] 化[か]	strengthening		0058
教科書	教[きょう] 科[か] 書[しょ]	textbook		0038
競技	競[きょう] 技[ぎ]	competition		0026
競技場	競[きょう] 技[ぎ] 場[じょう]	stadium		0172
供給	供[きょう] 給[きゅう]	supply		0062
教師	教[きょう] 師[し]	teacher		0038
行事	行[ぎょう] 事[じ]	event		0054
教授	教[きょう] 授[じゅ]	professor		0038
業績	業[ぎょう] 績[せき]	accomplishment		0074
競争率	競[きょう] 争[そう] 率[りつ]	competition rate		0173
興味深い	興[きょう] 味[み] 深[ぶか]い	interesting		0046 0047
行列	行[ぎょう] 列[れつ]	line, queue		0014
許可証	許[きょ] 可[か] 証[しょう]	licence, permit		0173
曲	曲[きょく]	number, piece of music		0026
距離	距[きょ] 離[り]	distance		0078
嫌う	嫌[きら]う	to hate		0010
気楽	気[き] 楽[らく]	carefree		0006 0118
霧	霧[きり]	fog		0034
議論	議[ぎ] 論[ろん]	discussion		0066
極めて	極[きわ]めて	extremely		0083 0124
気を落とす	気[き]を 落[お]とす	to be discouraged		0155
気を遣う	気[き]を 遣[つか]う	to take care of, to be considerate		0155
気を取られる	気[き]を 取[と]られる	to be distracted		0155
菌	菌[きん]	fungus		0074
～金	～ 金[きん]	～ fee		0172
金額	金[きん] 額[がく]	amount of money		0078
銀行口座	銀[ぎん] 行[こう] 口[こう] 座[ざ]	bank account		0062
金属製	金[きん] 属[ぞく] 製[せい]	made of metal		0173
緊張	緊[きん] 張[ちょう]	strain, tension		0006 0113
緊張感	緊[きん] 張[ちょう] 感[かん]	tense atmosphere		0173
金融界	金[きん] 融[ゆう] 界[かい]	financial world		0043
金融危機	金[きん] 融[ゆう] 危[き] 機[き]	financial crisis		0062 0063
～具	～ 具[ぐ]	～ gear [implement]		0172
クイズ番組	クイズ 番[ばん] 組[ぐみ]	quiz show		0046 0047
食う	食[く]う	to eat		0014
空間	空[くう] 間[かん]	space		0083
偶然	偶[ぐう] 然[ぜん]	by accident, by chance		0010
茎	茎[くき]	stalk		0070
腐る	腐[くさ]る	to go bad [off], to rot		0018
くし	くし	comb		0022
くしゃみ	くしゃみ	sneeze		0022
苦情	苦[く] 情[じょう]	complaint		0112
崩す	崩[くず]す	to break, to demolish		0022 0088
～崩れ	～ 崩[くず]れ	～ slide		0059
具体性	具[ぐ] 体[たい] 性[せい]	concreteness		0173
具体的	具[ぐ] 体[たい] 的[てき]	concrete		0173
くたくた	くたくた	exhausted		0143
くたびれる	くたびれる	to be exhausted		0113
くだらない	くだらない	stupid, trashy		0046
下り電車	下[くだ]り 電[でん] 車[しゃ]	down train		0030
口がうまい	口[くち]がうまい	smooth talker		0148
口が重い	口[くち]が 重[おも]い	taciturn		0148
口が堅い	口[くち]が 堅[かた]い	tight-lipped		0148
口が軽い	口[くち]が 軽[かる]い	to be a blabbermouth		0148
口が滑る	口[くち]が 滑[すべ]る	to make a slip of the tongue		0148
口に合う	口[くち]に 合[あ]う	to suit someone's taste		0148
口にする	口[くち]にする	to talk		0148
口に出す	口[くち]に 出[だ]す	to say		0148
ぐちゃぐちゃ	ぐちゃぐちゃ	messy		0142
口を出す	口[くち]を 出[だ]す	to have one's say (in an unconnected matter), to interfere		0148
苦痛	苦[く] 痛[つう]	pain		0022
くっきり	くっきり	clearly		0142
ぐったり	ぐったり	dead-tired		0143
ぐっと	ぐっと	much		0019 0124
くつろぐ	くつろぐ	to relax		0113
くどい	くどい	long-winded, greasy, gaudy		0014 0100
首にする	首[くび]にする	to fire from a job		0155
首になる	首[くび]になる	to be fired		0155
クマ	クマ	bear		0070
組み～	組[く]み～	combining [integrating] ～		0075 0161
組み合わせる	組[く]み 合[あ]わせる	to combine		0161
組み込む	組[く]み 込[こ]む	to integrate		0075
組み立て式	組[く]み 立[た]て 式[しき]	ready-to assemble, collapsible		0173
組み立てる	組[く]み 立[た]てる	to assemble, to put together		0074 0075 0161
悔やむ	悔[く]やむ	to regret		0113 0178
くよくよ	くよくよ	brooding over		0143
暮らしぶり	暮[く]らしぶり	way of life		0161
グラフ	グラフ	graph		0050
狂う	狂[くる]う	to go crazy [mad]		0088
苦しみ	苦[くる]しみ	suffering		0179
苦しむ	苦[くる]しむ	to suffer		0178
くるむ	くるむ	to wrap		0113
クレーム	クレーム	to claim		0112
暮れる	暮[く]れる	to get dark		0034
黒字	黒[くろ] 字[じ]	surplus		0062
加える	加[くわ]える	to do (harm) to, to inflict ～ on		0070
詳しい	詳[くわ]しい	detailed		0046
加わる	加[くわ]わる	to join, to participate		0078
訓練	訓[くん] 練[れん]	training		0026 0112
軽～	軽[けい]～	light [minor] ～		0167
～計	～ 計[けい]	～ metre [scale]		0172
敬意	敬[けい] 意[い]	respect		0010
経営	経[けい] 営[えい]	management		0042
経営方針	経[けい] 営[えい] 方[ほう] 針[しん]	management policy		0042 0043
経過	経[けい] 過[か]	passage		0082
警戒	警[けい] 戒[かい]	warning, caution		0058
景気	景[けい] 気[き]	business climate [conditions]		0062
契機	契[けい] 機[き]	opportunity		0112
軽金属	軽[けい] 金[きん] 属[ぞく]	light metal		0167
軽減	軽[けい] 減[げん]	reduction		0078
敬語	敬[けい] 語[ご]	honorific expression		0010
軽工業	軽[けい] 工[こう] 業[ぎょう]	light industry		0167
経済危機	経[けい] 済[ざい] 危[き] 機[き]	economic crisis		0062 0063
計算	計[けい] 算[さん]	calculation		0078
計算違い	計[けい] 算[さん] 違[ちが]い	miscalculation		0161
形式的	形[けい] 式[しき] 的[てき]	formal		0055
携帯電話	携[けい] 帯[たい] 電[でん] 話[わ]	mobile phone [cell phone]		0074
携帯用	携[けい] 帯[たい] 用[よう]	for portable use		0173
毛糸	毛[け] 糸[いと]	wool		0018
芸能界	芸[げい] 能[のう] 界[かい]	show business		0042 0043
軽犯罪	軽[けい] 犯[はん] 罪[ざい]	minor offence		0167
警備員	警[けい] 備[び] 員[いん]	security guard		0172
～警報	～ 警[けい] 報[ほう]	～ warning		0059
外科	外[げ] 科[か]	surgery		0022
劇場	劇[げき] 場[じょう]	theatre		0026
下車	下[げ] 車[しゃ]	alighting	反.  乗[じょう] 車[しゃ]<br>boarding	0030
下旬	下[げ] 旬[じゅん]	last part of the month		0082
下水道	下[げ] 水[すい] 道[どう]	sewer, sewerage system		0070
削る	削[けず]る	to plane, to shave, to sharpen		0026 0088
けち	けち	stingy		0006
血圧	血[けつ] 圧[あつ]	blood pressure		0022
血圧計	血[けつ] 圧[あつ] 計[けい]	blood pressure gauge		0172
月給	月[げっ] 給[きゅう]	monthly salary		0042
結局	結[けっ] 局[きょく]	finally		0136
結構	結[けっ] 構[こう]	quite		0136
結婚相手	結[けっ] 婚[こん] 相[あい] 手[て]	marriage partner		0054 0055
傑作	傑[けっ] 作[さく]	masterpiece		0026
決して	決[けっ]して	by no means, never		0063
月末	月[げつ] 末[まつ]	end of the month		0082
けなす	けなす	to belittle		0010
険しい	険[けわ]しい	steep, severe		0034 0100
～券	～ 券[けん]	～ ticket [pass]		0031
現～	現[げん]～	present ～		0166
謙虚	謙[けん] 虚[きょ]	modest	反.  生[なま] 意[い] 気[き]<br>cheeky	0006
現金	現[げん] 金[きん]	cash		0062
検索	検[けん] 索[さく]	search		0050
原産	原[げん] 産[さん]	origin		0014
現時点	現[げん] 時[じ] 点[てん]	present moment		0166
研修	研[けん] 修[しゅう]	training		0042
減少	減[げん] 少[しょう]	decrease	反.  増[ぞう] 加[か]<br>increase	0078
現状	現[げん] 状[じょう]	present state		0070
建設業	建[けん] 設[せつ] 業[ぎょう]	construction industry		0172
現代語	現[げん] 代[だい] 語[ご]	modern language		0026
現代語訳	現[げん] 代[だい] 語[ご] 訳[やく]	translation into modern language		0026 0027
現代風	現[げん] 代[だい] 風[ふう]	contemporary		0015 0173
現段階	現[げん] 段[だん] 階[かい]	current stage		0166
建築家	建[けん] 築[ちく] 家[か]	architect		0172
建築士	建[けん] 築[ちく] 士[し]	architect		0172
限定版	限[げん] 定[てい] 版[ばん]	limited edition		0173
現場	現[げん] 場[ば]	scene (of a crime, accident, etc.)		0058
憲法	憲[けん] 法[ぽう]	constitution		0066
権力	権[けん] 力[りょく]	power, authority		0066
小～	小[こ]～	small ～		0166
高～	高[こう]～	high ～		0023 0075 0167
好～	好[こう]～	good ～		0167
合意	合[ごう] 意[い]	agreement		0066
強引	強[ごう] 引[いん]	aggressive, forceful		0006 0107
好印象	好[こう] 印[いん] 象[しょう]	good impression		0167
豪華	豪[ごう] 華[か]	gorgeous		0054
後悔	後[こう] 悔[かい]	regret		0113
公害	公[こう] 害[がい]	pollution		0070
高学歴	高[こう] 学[がく] 歴[れき]	higher education		0167
高カロリー	高[こう]カロリー	high calorie		0023 0167
交換	交[こう] 換[かん]	exchange		0074
高気圧	高[こう] 気[き] 圧[あつ]	high atmospheric pressure		0034
好奇心	好[こう] 奇[き] 心[しん]	curiosity		0173
高機能	高[こう] 機[き] 能[のう]	high functioning		0075 0167
公共政策	公[こう] 共[きょう] 政[せい] 策[さく]	public policy		0066
航空券	航[こう] 空[くう] 券[けん]	air ticket		0030 0031
工芸	工[こう] 芸[げい]	crafts		0026
高血圧	高[こう] 血[けつ] 圧[あつ]	high blood pressure		0022 0023 0167
貢献	貢[こう] 献[けん]	contribution		0113
広告費	広[こう] 告[こく] 費[ひ]	advertising cost		0046
交際	交[こう] 際[さい]	association		0054
交際費	交[こう] 際[さい] 費[ひ]	social expenses		0172
子ウサギ	子[こ]ウサギ	baby rabbit		0071
講師	講[こう] 師[し]	lecturer		0038
子牛	子[こ] 牛[うし]	calf		0070 0071
交渉	交[こう] 渉[しょう]	negotiation		0066
向上	向[こう] 上[じょう]	improvement		0062
降水量	降[こう] 水[すい] 量[りょう]	amount of rainfall		0173
高性能	高[こう] 性[せい] 能[のう]	high performance		0074 0075 0167
高速バス	高[こう] 速[そく]バス	express bus		0030
好対照	好[こう] 対[たい] 照[しょう]	good contrast		0167
交通機関	交[こう] 通[つう] 機[き] 関[かん]	means of transportation, transport facilities		0030 0031
交通事故	交[こう] 通[つう] 事[じ] 故[こ]	traffic accident		0058 0059
高度	高[こう] 度[ど]	advanced		0078
強盗	強[ごう] 盗[とう]	robber		0058
強盗事件	強[ごう] 盗[とう] 事[じ] 件[けん]	robbery		0059
光熱費	光[こう] 熱[ねつ] 費[ひ]	utility costs		0172
後輩	後[こう] 輩[はい]	junior		0002
紅葉、紅葉	紅[こう] 葉[よう]、 紅葉[もみじ]	autumn colour of leaves		0034
効率	効[こう] 率[りつ]	efficiency		0074
高齢化	高[こう] 齢[れい] 化[か]	ageing (of the population)		0173
超える	超[こ]える	to exceed		0030
コーチ	コーチ	coach		0026
誤解	誤[ご] 解[かい]	misunderstanding		0010
焦がす	焦[こ]がす	to burn		0018
国語	国[こく] 語[ご]	national language		0038
国際欄	国[こく] 際[さい] 欄[らん]	international column [section]		0046
国際連合	国[こく] 際[さい] 連[れん] 合[ごう]	United Nations	cf.  国[こく] 連[れん]<br>UN (abbr.)	0066 0067
国立大学	国[こく] 立[りつ] 大[だい] 学[がく]	national university	反.  私[し] 立[りつ] 大[だい] 学[がく]<br>private university	0038
焦げる	焦[こ]げる	to burn		0018
凍える	凍[こご]える	to freeze		0034
心が狭い	心[こころ]が 狭[せま]い	to be narrow-minded		0155
心が広い	心[こころ]が 広[ひろ]い	to be big-hearted		0155
心を痛める	心[こころ]を 痛[いた]める	to be pained		0155
心を込める	心[こころ]を 込[こ]める	to do whole-heartedly		0155
腰掛ける	腰[こし] 掛[か]ける	to sit	反.  立[た]ち 上[あ]がる<br>to rise, to stand up	0022
こしょう	こしょう	pepper		0014
故人	故[こ] 人[じん]	deceased		0054
個人～	個[こ] 人[じん]～	personal [individual] ～		0031
個人競技	個[こ] 人[じん] 競[きょう] 技[ぎ]	individual sports		0031
個人旅行	個[こ] 人[じん] 旅[りょ] 行[こう]	individual travel	反.  団[だん] 体[たい] 旅[りょ] 行[こう]<br>group tour	0030 0031
コスト	コスト	cost		0062
国家	国[こっ] 家[か]	country, nation		0066
国会	国[こっ] 会[かい]	national assembly, the Diet		0066
小遣い帳	小[こ] 遣[づか]い 帳[ちょう]	pocket money spending book		0173
こつこつ	こつこつ	steadily		0143
骨折	骨[こっ] 折[せつ]	bone fracture		0022
古典	古[こ] 典[てん]	classic		0026
古典的	古[こ] 典[てん] 的[てき]	classical		0027
言葉遣い	言[こと] 葉[ば] 遣[づか]い	wording, phrasing		0002 0003 0161
子ども扱い	子[こ]ども 扱[あつか]い	treating like a child		0161
子供連れ	子[こ] 供[ども] 連[づ]れ	accompanied by children		0161
好み	好[この]み	liking, taste	反.  苦[にが] 手[て]<br>weak [poor] at ～	0014
コピー	コピー	copy		0050
（ご）夫妻	（ご） 夫[ふ] 妻[さい]	husband and wife		0002
こぼす	こぼす	to spill		0018
こぼれる	こぼれる	to overflow		0018
コマーシャル	コマーシャル	commercial		0046
コミュニケーション	コミュニケーション	communication		0002
～込む	～ 込[こ]む	into		0055 0160
小屋	小[こ] 屋[や]	hut		0070
娯楽	娯[ご] 楽[らく]	amusement, entertainment		0112
娯楽番組	娯[ご] 楽[らく] 番[ばん] 組[ぐみ]	entertainment programme		0046
殺し合う	殺[ころ]し 合[あ]う	to kill each other		0160
殺す	殺[ころ]す	to kill		0058
今～	今[こん]～	this ～		0039 0166
今学期	今[こん] 学[がっ] 期[き]	this term		0038 0039 0166
今後	今[こん] 後[ご]	from now on		0082
混雑	混[こん] 雑[ざつ]	congestion		0030
今シーズン	今[こん]シーズン	this season		0166
今世紀	今[こん] 世[せい] 紀[き]	this century		0166
献立	献[こん] 立[だて]	menu		0018
昆虫	昆[こん] 虫[ちゅう]	insect		0070
コントロール	コントロール	control		0113
今年度	今[こん] 年[ねん] 度[ど]	this financial [fiscal] year		0039 0067 0166
婚約	婚[こん] 約[やく]	engagement		0054
混乱	混[こん] 乱[らん]	confusion		0066
～差	～ 差[さ]	difference between [in]		0173
～さ	～さ	(used to turn adjectives into nouns)		0179
再～	再[さい]～	re-		0051 0167
最～	最[さい]～	most ～		0167
再インストール	再[さい]インストール	reinstall		0051
災害	災[さい] 害[がい]	disaster		0058
在学中	在[ざい] 学[がく] 中[ちゅう]	at school		0038
再起動	再[さい] 起[き] 動[どう]	restart		0050 0051
細菌	細[さい] 菌[きん]	bacteria		0074
最高気温	最[さい] 高[こう] 気[き] 温[おん]	highest temperature		0078
再三	再[さい] 三[さん]	again and again		0106
財政的	財[ざい] 政[せい] 的[てき]	financial		0066
最前列	最[さい] 前[ぜん] 列[れつ]	front row		0167
最大	最[さい] 大[だい]	biggest		0078
最低気温	最[さい] 低[てい] 気[き] 温[おん]	lowest temperature		0078
採点	採[さい] 点[てん]	scoring		0038
才能	才[さい] 能[のう]	ability		0042
栽培	栽[さい] 培[ばい]	cultivation		0070
再発防止	再[さい] 発[はつ] 防[ぼう] 止[し]	prevention of recurrence		0059
裁判	裁[さい] 判[ばん]	trial		0066
裁判官	裁[さい] 判[ばん] 官[かん]	judge		0172
裁判所	裁[さい] 判[ばん] 所[しょ]	courthouse		0172
裁縫	裁[さい] 縫[ほう]	sewing		0026
再放送	再[さい] 放[ほう] 送[そう]	rebroadcast, repeat		0046
財務相	財[ざい] 務[む] 相[しょう]	finance minister		0066 0067
財務省	財[ざい] 務[む] 省[しょう]	Ministry of Finance		0066 0067
最優先	最[さい] 優[ゆう] 先[せん]	highest priority		0167
最有力	最[さい] 有[ゆう] 力[りょく]	most dominant		0167
栄える	栄[さか]える	to flourish		0066
探し回る	探[さが]し 回[まわ]る	to look around		0160
逆らう	逆[さか]らう	to defy, to go against		0089
～先	～ 先[さき]	(used to mean the other party)		0063
詐欺	詐[さ] 欺[ぎ]	fraud		0058
索引	索[さく] 引[いん]	index		0026
削減	削[さく] 減[げん]	reduction		0062
削除	削[さく] 除[じょ]	deletion		0050
作成	作[さく] 成[せい]	making		0050
作物	作[さく] 物[もつ]	crop		0062
避ける	避[さ]ける	to avoid		0010 0030
差し～	差[さ]し～	(emphatic or polite prefix)		0059 0161
差し押さえる	差[さ]し 押[お]さえる	to seize		0059
差しかかる	差[さ]しかかる	to approach		0058 0059
差し出す	差[さ]し 出[だ]す	to hold out		0161
差し支えない	差[さ]し 支[つか]えない	having no objection		0107
差し引く	差[さ]し 引[ひ]く	to deduct		0161
刺身	刺[さし] 身[み]	sashimi		0014
座席	座[ざ] 席[せき]	seat		0030
定める	定[さだ]める	to enact		0066
撮影	撮[さつ] 影[えい]	filming		0046
撮影所	撮[さつ] 影[えい] 所[じょ]	studio		0172
作家	作[さっ] 家[か]	writer		0026
さっさと	さっさと	quickly		0142
殺人事件	殺[さつ] 人[じん] 事[じ] 件[けん]	murder case		0058 0059
早速	早[さっ] 速[そく]	immediately		0043 0137
ざっと	ざっと	roughly		0143
さっぱり	さっぱり	refreshing, completely		0014 0130
砂漠	砂[さ] 漠[ばく]	desert		0034
砂漠化	砂[さ] 漠[ばく] 化[か]	desertification		0070
寂しさ	寂[さび]しさ	sadness, loneliness		0179
作法	作[さ] 法[ほう]	manners		0010
サポート	サポート	support		0112
サボる	サボる	to skip		0113
さます	さます	to get sober, to wake up		0014
冷める	冷[さ]める	to cool		0010
さめる	さめる	to become sober		0014
更に	更[さら]に	further		0106
騒がしい	騒[さわ]がしい	noisy		0107
～産	～ 産[さん]	product of ～, -made		0015 0173
産業別	産[さん] 業[ぎょう] 別[べつ]	by industry		0173
参考～	参[さん] 考[こう]～	reference ～		0039
参考書	参[さん] 考[こう] 書[しょ]	reference book		0039
参考文献	参[さん] 考[こう] 文[ぶん] 献[けん]	reference literature		0038 0039
産出量	産[さん] 出[しゅつ] 量[りょう]	output		0071
三世代	三[さん] 世[せ] 代[だい]	three generations		0002
三人姉妹	三[さん] 人[にん] 姉[し] 妹[まい]	three sisters		0002
三人連れ	三[さん] 人[にん] 連[づ]れ	party of three		0161
サンプル	サンプル	sample		0074 0112
～氏	～ 氏[し]	Mr. [Ms.] ～		0002
～士	～ 士[し]	-er, person (in a profession)		0043 0172
～師	～ 師[し]	member (of a profession)		0172
～児	～ 児[じ]	～ child		0055
仕上がる	仕[し] 上[あ]がる	to be finished		0018 0019
飼育	飼[し] 育[いく]	breeding		0070
シーズン	シーズン	season		0034
強いる	強[し]いる	to force, to thrust		0062
自営業	自[じ] 営[えい] 業[ぎょう]	family-operated business, self-employment		0172
塩辛い	塩[しお] 辛[から]い	salty		0014
時間割	時[じ] 間[かん] 割[わり]	timetable		0038
～式	～ 式[しき]	～ ceremony, ～ style [system]		0055 0173
至急	至[し] 急[きゅう]	urgent		0137
試供品	試[し] 供[きょう] 品[ひん]	sample		0112
しきりに	しきりに	frequently		0015 0125
資金	資[し] 金[きん]	funds, money		0054
～資源	～ 資[し] 源[げん]	～ resources		0063
～事件	～ 事[じ] 件[けん]	～ incident [case]		0059
地獄	地[じ] 獄[ごく]	hell	反.  天[てん] 国[ごく]<br>heaven	0054
仕事仲間	仕[し] 事[ごと] 仲[なか] 間[ま]	workmate, colleague		0002 0003
仕事ぶり	仕[し] 事[ごと]ぶり	job performance, way of working		0161
資産	資[し] 産[さん]	asset		0062
指示	指[し] 示[じ]	instructions, directions		0042
自習	自[じ] 習[しゅう]	self-study		0038
市場	市[し] 場[じょう]	market		0062
システム	システム	system		0074
静まる	静[しず]まる	to subside (vi.)		0178
沈む	沈[しず]む	to sink		0034
静める	静[しず]める	to calm (vt.)		0178
姿勢	姿[し] 勢[せい]	posture		0010
事前	事[じ] 前[ぜん]	in advance		0082
自然科学	自[し] 然[ぜん] 科[か] 学[がく]	natural science		0038
自然環境	自[し] 然[ぜん] 環[かん] 境[きょう]	natural environment		0070
自然破壊	自[し] 然[ぜん] 破[は] 壊[かい]	destruction of nature		0070 0071
自然保護	自[し] 然[ぜん] 保[ほ] 護[ご]	nature conservation		0071
子孫	子[し] 孫[そん]	descendant	反.  祖[そ] 先[せん]<br>ancestor	0002
次第に	次[し] 第[だい]に	gradually		0039 0137
従う	従[したが]う	to obey	反.  違[い] 反[はん]する<br>to violate	0026
親しい	親[した]しい	close		0002
親しみ	親[した]しみ	familiarity		0179
親しむ	親[した]しむ	to be friendly		0178
質	質[しつ]	quality		0014
実家	実[じっ] 家[か]	family home		0002
失業	失[しつ] 業[ぎょう]	unemployment		0042
失業率	失[しつ] 業[ぎょう] 率[りつ]	unemployment rate		0173
じっくり	じっくり	carefully and deliberately		0047 0143
実験	実[じっ] 験[けん]	experiment, test		0038
しつこい	しつこい	persistent, stubborn		0014
実施	実[じっ] 施[し]	implementation		0082
湿度	湿[しつ] 度[ど]	humidity		0034
しっとり	しっとり	moist		0142
実に	実[じつ]に	truly		0027 0124
執筆	執[しっ] 筆[ぴつ]	writing		0026
失望	失[しつ] 望[ぼう]	disappointment		0010 0113
実用化	実[じつ] 用[よう] 化[か]	practical application		0173
失恋	失[しつ] 恋[れん]	broken heart		0010
指定	指[し] 定[てい]	designation		0030
指導	指[し] 導[どう]	guidance		0026
児童	児[じ] 童[どう]	child		0038
次年度	次[じ] 年[ねん] 度[ど]	next financial [fiscal] year		0066 0067
支配	支[し] 配[はい]	control, rule		0066
芝居	芝[しば] 居[い]	play		0026
しばしば	しばしば	often		0106
支払い	支[し] 払[はら]い	payment		0062
支払う	支[し] 払[はら]う	to pay		0062
縛る	縛[しば]る	to tie, to restrict		0089
地盤	地[じ] 盤[ばん]	foundation, ground		0034
しびれる	しびれる	to become numb		0022
死亡事故	死[し] 亡[ぼう] 事[じ] 故[こ]	fatal accident		0059
絞る	絞[しぼ]る	to wring, to focus on ～		0018 0089
搾る	搾[しぼ]る	to squeeze		0089
資本金	資[し] 本[ほん] 金[きん]	capital		0042
しま模様	しま 模[も] 様[よう]	stripped pattern		0018 0019
自慢	自[じ] 慢[まん]	pride		0010
地味	地[じ] 味[み]	plain	反.  派[は] 手[で]<br>colourful, showy	0006
染み込む	染[し]み 込[こ]む	to permeate, to soak into		0160
しみじみ	しみじみ	deeply		0143
染みる	染[し]みる	to soak, to pierce, to be deeply moved		0089
～しむ	～しむ	(turns adjectives into verbs)		0178
じめじめ	じめじめ	gloomy		0142
～者	～ 者[しゃ]	～ person, -er		0055 0075 0172
ジャーナリスト	ジャーナリスト	journalist		0046
シャイ	シャイ	shy		0107
社会科学	社[しゃ] 会[かい] 科[か] 学[がく]	social science		0038
しゃがむ	しゃがむ	to squat, to crouch		0022
若干	若[じゃっ] 干[かん]	a bit, slightly		0051 0106 0124
借金	借[しゃっ] 金[きん]	debt		0062
しゃっくり	しゃっくり	hiccup		0022
しゃぶる	しゃぶる	to suck		0014
しゃれ	しゃれ	joke, pun		0006
ジャンル	ジャンル	genre, field		0112
主～	主[しゅ]～	main [principal] ～		0167
重～	重[じゅう]～	hard [heavy] ～		0167
週明け	週[しゅう] 明[あ]け	beginning of the week		0161
周囲	周[しゅう] 囲[い]	surrounding		0002
収穫量	収[しゅう] 穫[かく] 量[りょう]	crop yield		0173
周期	周[しゅう] 期[き]	cycle, period		0082
重金属	重[じゅう] 金[きん] 属[ぞく]	heavy metal		0167
重工業	重[じゅう] 工[こう] 業[ぎょう]	heavy industry		0167
終始	終[しゅう] 始[し]	from beginning to end		0125
重視	重[じゅう] 視[し]	emphasis, regard ～ as important		0010
収集	収[しゅう] 集[しゅう]	collection		0074
就職	就[しゅう] 職[しょく]	employment		0042
就職活動	就[しゅう] 職[しょく] 活[かつ] 動[どう]	job hunting		0042
修正	修[しゅう] 正[せい]	correction		0113 0119
住宅街	住[じゅう] 宅[たく] 街[がい]	residential area		0172
充電器	充[じゅう] 電[でん] 器[き]	charger		0172
収入	収[しゅう] 入[にゅう]	income		0062
就任	就[しゅう] 任[にん]	inauguration, taking up a post		0042
周辺	周[しゅう] 辺[へん]	around		0083
住民団体	住[じゅう] 民[みん] 団[だん] 体[たい]	residents' association		0066 0067
重役	重[じゅう] 役[やく]	executive		0042
従来	従[じゅう] 来[らい]	conventional		0082 0125
従来通り	従[じゅう] 来[らい] 通[どお]り	as usual		0082 0083
修理	修[しゅう] 理[り]	repair		0050 0119
終了	終[しゅう] 了[りょう]	finish		0050
重労働	重[じゅう] 労[ろう] 働[どう]	hard labour		0167
縮小	縮[しゅく] 小[しょう]	shrink	反.  拡[かく] 大[だい]<br>enlargement, magnification	0050
宿泊	宿[しゅく] 泊[はく]	lodging	反.  日[ひ] 帰[がえ]り<br>one-day trip	0030
宿泊料	宿[しゅく] 泊[はく] 料[りょう]	room charge		0172
主原料	主[しゅ] 原[げん] 料[りょう]	main raw materials		0167
取材	取[しゅ] 材[ざい]	news gathering		0046
主産地	主[しゅ] 産[さん] 地[ち]	main production area		0167
首相	首[しゅ] 相[しょう]	prime minister		0066
受賞	受[じゅ] 賞[しょう]	prize winning		0074
受信	受[じゅ] 信[しん]	reception	反.  送[そう] 信[しん]<br>transmission, sending	0050
主成分	主[しゅ] 成[せい] 分[ぶん]	principal component		0167
主張	主[しゅ] 張[ちょう]	assertion, insistence		0113
出荷	出[しゅっ] 荷[か]	shipment		0062
出産費用	出[しゅっ] 産[さん] 費[ひ] 用[よう]	delivery charges		0055
出場	出[しゅつ] 場[じょう]	participation		0026
出生届	出[しゅっ] 生[しょう] 届[とどけ]	birth registration		0173
出張	出[しゅっ] 張[ちょう]	business trip		0042
首都	首[しゅ] 都[と]	capital city		0030
首脳	首[しゅ] 脳[のう]	leaders		0066
需要	需[じゅ] 要[よう]	demand		0062
受話器	受[じゅ] 話[わ] 器[き]	phone receiver		0172
純粋	純[じゅん] 粋[すい]	pure		0006 0100
順調	順[じゅん] 調[ちょう]	smooth		0107
諸～	諸[しょ]～	various ～		0166
～所	～ 所[しょ]	～ place [facility]		0055 0172
～署	～ 署[しょ]	～ station		0172
少～	少[しょう]～	small ～		0167
～省	～ 省[しょう]	Ministry of ～		0067
～相	～ 相[しょう]	～ Minister		0067
～証	～ 証[しょう]	～ membership card [licence]		0173
～場	～ 場[じょう]	～ place [area, field]		0172
～状	～ 状[じょう]	～ card [letter]		0173
消化	消[しょう] 化[か]	digestion		0014
消火器	消[しょう] 火[か] 器[き]	fire extinguisher		0172
奨学金	奨[しょう] 学[がく] 金[きん]	scholarship		0172
乗客	乗[じょう] 客[きゃく]	passenger		0030
消去	消[しょう] 去[きょ]	erasure		0050
消極的	消[しょう] 極[きょく] 的[てき]	passive	反.  積[せっ] 極[きょく] 的[てき]<br>positive, assertive	0006 0007
賞金	賞[しょう] 金[きん]	prize money		0026
衝撃的	衝[しょう] 撃[げき] 的[てき]	shocking		0046 0047
証言	証[しょう] 言[げん]	testimony		0066
証拠	証[しょう] 拠[こ]	evidence		0058
正午過ぎ	正[しょう] 午[ご] 過[す]ぎ	past noon		0082 0083
詳細	詳[しょう] 細[さい]	details	反.  大[おお]まか<br>rough	0046
上司	上[じょう] 司[し]	boss	反.  部[ぶ] 下[か]<br>subordinate	0002
乗車	乗[じょう] 車[しゃ]	boarding	反.  下[げ] 車[しゃ]<br>alighting	0030
上旬	上[じょう] 旬[じゅん]	first ten days of the month		0082
少々	少[しょう] 々[しょう]	a little		0078
症状	症[しょう] 状[じょう]	symptom		0022
