ウェーター                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               waiter
トラック                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                truck, lorry
テスト                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 test, exam
ポスト                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 post box, letter box
フィルム                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                film
トランプ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                (a pack of) cards, (playing) cards
ドル                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  dollar
サラリーマン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              office worker, salaried worker, company employee
ネクタイ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                tie, necktie
スープ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 soup, broth
タイプライター                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             typewriter
レコード                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                record
チョコレート                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              chocolate
ゴルフ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 golf
アルバイト                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               casual job, student job, part-time job
バイク                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 motorbike, motor cycle
コーラ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 cola, coke
アイスクリーム                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ice cream
ピンク                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 pink
ロボット                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                robot
パソコン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                personal computer
マンション                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               apartment, apartment block, condominium
アパート                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                apartment, flat, apartment house
グラフ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 chart, graph
ラジオ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 radio
ボール                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ball
オートバイ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               motorbike, motorcycle
スイッチ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                switch
テニス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 tennis
バイオリン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               violin
アルバム                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                album
スカート                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                skirt
ダンス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 dance, dancing
パチンコ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                pachinko (vertical pinball)
スチュワーデス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             flight attendant
ワイシャツ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               (business) shirt, (white) shirt
ブラウス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                blouse
ステレオ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                stereo
アイロン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                iron
イヤリング                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               earrings
ガールフレンド                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             girlfriend
エアメール                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               airmail
コピー                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 copy, photocopy
歯ブラシ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                toothbrush
コップ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 cup, glass
プラスチック                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              plastic
チケット                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ticket
デート                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 date
ジェット機                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               jet airplane
カード                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 card, credit card
テープ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 tape, cassette
サッカー                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                soccer, football
バスケットボール                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            basketball
マフラー                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                scarf, muffler
タオル                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 towel
スーパーマーケット                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           supermarket
トイレットペーパー                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           toilet paper
カメラ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 camera
スケート                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                skate, skates
ボート                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 boat
セーター                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                sweater, pullover
ズボン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 trousers, pants
ガス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  gas
システム                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                system
バス停                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 bus stop
メニュー                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                menu, bill of fare
ランチ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 lunch
グラス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 glass
ベッド                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 bed
パトカー                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                police car, patrol car
プログラム                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               program
ナイロン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                nylon
リボン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ribbon
ジュース                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                juice, soft drink
ゴム                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  elastic
ソース                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 sauce, Worcestershire sauce
ネックレス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               necklace
プレゼント                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               present, gift
ケーキ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 cake
ベルト                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 belt
ギター                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 guitar
バレーボール                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              volleyball
チョーク                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                chalk
フォーク                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                fork
タクシー                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                taxi, cab
ウェートレス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              waitress
ビデオ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 video
